City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Longyearbyen,SJ,78.2186,15.6401,39.04,87,75,8.05,light rain
80,Pisco,PE,-13.7,-76.2167,63.01,84,99,4.36,overcast clouds
81,Kavieng,PG,-2.5744,150.7967,81.43,73,13,5.53,few clouds
82,Ambon,ID,-3.6954,128.1814,75.34,94,40,9.22,scattered clouds
83,Whitefish,US,48.4111,-114.3376,50.76,93,40,0.0,scattered clouds
84,Mosquera,CO,4.7059,-74.2302,64.49,52,20,6.91,few clouds
85,Novoraychikhinsk,RU,49.7798,129.594,34.86,81,0,8.14,clear sky
86,Torbay,CA,47.6666,-52.7314,61.75,68,75,4.61,broken clouds
87,Bredasdorp,ZA,-34.5322,20.0403,59.29,63,70,11.9,light rain
88,Bambanglipuro,ID,-7.95,110.2833,58.6,82,27,2.89,scattered clouds
89,Mataura,NZ,-46.1927,168.8643,45.48,92,100,5.55,moderate rain
90,Cherskiy,RU,68.75,161.3,18.09,97,99,4.45,light snow
91,Acapulco,MX,16.8634,-99.8901,84.02,74,20,4.61,few clouds
92,Vanimo,PG,-2.6741,141.3028,77.63,85,96,2.86,overcast clouds
93,Gravelbourg,CA,49.8834,-106.5512,59.27,28,8,8.7,clear sky
94,Mopipi,BW,-21.1833,24.8833,90.25,7,0,8.79,clear sky
95,Port Hedland,AU,-20.3167,118.5667,66.25,77,0,8.05,clear sky
96,Cockburn Town,TC,21.4612,-71.1419,83.57,67,100,17.67,overcast clouds
97,Saravena,CO,6.9538,-71.8752,82.49,68,80,3.42,broken clouds
98,Kaitangata,NZ,-46.2817,169.8464,48.92,78,100,11.32,moderate rain
99,Tacarigua,VE,10.0862,-67.9198,83.26,64,33,3.02,scattered clouds
100,Antofagasta,CL,-23.65,-70.4,58.28,62,27,11.74,scattered clouds
101,Tasiilaq,GL,65.6145,-37.6368,39.36,53,0,7.34,clear sky
102,Kaohsiung,TW,22.6163,120.3133,84.15,85,40,4.0,scattered clouds
103,Luderitz,NA,-26.6481,15.1594,65.91,48,0,31.45,clear sky
104,College,US,64.8569,-147.8028,34.59,96,90,4.61,light snow
105,Puerto Madryn,AR,-42.7692,-65.0385,56.61,35,1,16.55,clear sky
106,Vardo,NO,70.3705,31.1107,50.2,76,0,29.93,clear sky
107,Poum,NC,-20.2333,164.0167,74.88,87,43,16.15,scattered clouds
108,Kamenka,RU,51.3223,42.7678,52.25,57,72,7.23,broken clouds
109,Bathsheba,BB,13.2167,-59.5167,90.21,62,40,24.16,scattered clouds
110,Luoyang,CN,34.6836,112.4536,72.36,93,90,4.5,light rain
111,Westport,US,41.1415,-73.3579,75.97,72,1,1.99,clear sky
112,Pangnirtung,CA,66.1451,-65.7125,41.65,61,31,3.65,scattered clouds
113,Puerto Ayora,EC,-0.7393,-90.3518,71.85,79,52,11.16,broken clouds
114,Atuona,PF,-9.8,-139.0333,77.11,72,57,17.47,broken clouds
115,High Level,CA,58.5169,-117.136,40.08,60,48,8.25,scattered clouds
116,Tiznit,MA,29.5833,-9.5,76.77,32,0,10.25,clear sky
117,Muros,ES,42.7762,-9.0603,67.98,59,4,10.25,clear sky
118,Castro,BR,-24.7911,-50.0119,63.19,98,100,6.2,moderate rain
