City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Hobyo,SO,79.81,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
254,Conakry,GN,88.36,light rain,9.538,-13.6773,Riviera Royal Hotel
262,San Quintin,MX,76.06,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
263,Vila Velha,BR,84.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
267,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
276,Shenjiamen,CN,76.84,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
280,Caravelas,BR,84.76,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
284,Ravar,IR,76.91,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
287,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
288,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
292,Erzin,TR,82.92,clear sky,36.9559,36.2,Artemis Otel
295,Mbanza-Ngungu,CD,84.99,overcast clouds,-5.25,14.8667,Hotel Full Business
303,Hun,LY,88.47,clear sky,29.1268,15.9477,Alrwasi Hotel
305,Mount Isa,AU,82.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
306,Lorengau,PG,79.72,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
312,Montepuez,MZ,89.11,clear sky,-13.1256,38.9997,PembaAparthotel
316,Bolpur,IN,85.44,broken clouds,23.6667,87.7167,Charbari Resort (Chalantika Group)
319,Basco,PH,83.53,broken clouds,20.4487,121.9702,Nathaniel's Lodge
320,Sinnamary,GF,83.52,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
325,Kitui,KE,78.06,overcast clouds,-1.367,38.0106,Heritage Bliss Hotel
326,Armeria,MX,85.77,overcast clouds,18.9333,-103.9667,Hotel la Herradura
327,Porto Novo,BJ,87.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
334,Gushikawa,JP,81.63,few clouds,26.3544,127.8686,Kirari Guest House
336,Umm Lajj,SA,83.14,clear sky,25.0213,37.2685,Moon light Furnished Units
339,Guaymas,MX,76.89,few clouds,27.9333,-110.9,Hotel Armida
342,Baiao,BR,83.52,light rain,-2.7906,-49.6717,Hotel Eurosono
349,Kudahuvadhoo,MV,83.3,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
351,Kirakira,SB,79.59,overcast clouds,-10.4544,161.9205,SanBiz Lodge
356,Victoria,HK,86.32,light rain,22.2855,114.1577,Mini Hotel Central
357,Pozo Colorado,PY,75.02,light rain,-23.4923,-58.7972,Hospedaje la Amistad
358,Orocue,CO,86.18,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
361,Waddan,LY,87.73,clear sky,29.1614,16.139,محل الشريف محمد العايب
362,Tanakpur,IN,76.06,clear sky,29.0833,80.1167,Hotel Parvat
369,Oistins,BB,89.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
371,Fukue,JP,77.52,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
372,Beawar,IN,83.97,broken clouds,26.1,74.3167,HL Palace Beawar
373,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
380,Mao,ES,77.56,scattered clouds,39.8885,4.2658,ARTIEM Capri
382,Weligama,LK,79.48,few clouds,5.9667,80.4167,Weligama Bay Resort
385,Puerto Escondido,MX,85.03,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
386,Hirara,JP,82.83,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
393,Nicoya,CR,81.95,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
394,Faanui,PF,77.72,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
402,Marrakesh,MA,84.27,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
405,Xiamen,CN,83.25,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
406,Tirumullaivasal,IN,82.92,broken clouds,11.2333,79.8333,Almupaark complex
408,Najran,SA,88.45,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
410,Gunjur,GM,89.67,scattered clouds,13.2019,-16.7339,Kuba Lodge
415,Port Hueneme,US,84.25,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
417,Saint-Georges,GD,89.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
418,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
425,Galdar,ES,78.35,clear sky,28.147,-15.6502,Hostel Guide
427,Conchas,BR,87.31,broken clouds,-23.0153,-48.0106,Pousada Villa Harmonia
429,Pemba,MZ,81.3,few clouds,-12.974,40.5178,Guesthouse Samotina
430,Lakatoro,VU,77.54,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
434,Bridgeton,US,76.91,clear sky,39.4273,-75.2341,Star Liberty Inn Hotel
435,Honiara,SB,77.77,scattered clouds,-9.4333,159.95,Heritage Park Hotel
443,Axim,GH,82.2,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
446,Kpandae,GH,87.4,light rain,8.4689,-0.0113,S. Amaski Guest House
448,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
449,Nha Trang,VN,82.4,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
450,Cabano,PH,79.23,moderate rain,10.5869,122.7002,The Clara Beach and Guest House (official)
451,Chimoio,MZ,75.06,haze,-19.1164,33.4833,Predio Livraria Ahmed
452,Caborca,MX,76.57,few clouds,30.5838,-111.101,Hotel Los Lagos
454,Kavaratti,IN,81.25,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
456,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
458,Darab,IR,87.06,broken clouds,28.7519,54.5444,Naghshe shapoor Hotel
461,Celestun,MX,82.74,overcast clouds,20.8667,-90.4,Posada Lilia
467,Freeport,US,77.11,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
468,Chabahar,IR,82.92,overcast clouds,25.2919,60.643,هتل گدروشیا
474,Havelock,US,80.94,clear sky,34.8791,-76.9013,Sherwood Motel
478,Bonthe,SL,84.42,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
479,Ambanja,MG,78.73,clear sky,-13.6833,48.45,Hotel Salama and Fast Food
480,Mumford,GH,80.87,broken clouds,5.2618,-0.759,Spanish Villa
483,Jesus Carranza,MX,78.1,scattered clouds,17.4333,-95.0333,Departamento Doris
485,Luna,PH,78.15,moderate rain,10.9667,123.2333,Rosita Beach
486,Owerri,NG,84.83,moderate rain,5.4833,7.0304,Donamario
491,Luorong,CN,79.59,light rain,24.4058,109.6086,荣立大酒店
494,Manhattan,US,76.62,clear sky,40.7834,-73.9662,The Excelsior Hotel
497,Shirgaon,IN,82.58,overcast clouds,19.7,72.7,"Samarth Krupa Farm, Palghar"
499,Campos Do Jordao,BR,77.63,clear sky,-22.7394,-45.5914,Canada Lodge Inn
501,San Ignacio,BZ,80.74,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
